"CASENO","SEVERITY","ACCDATE","ACCTIME","NOVEH","NOINJ","NOKILLED","INNEAR","COMMNAME","UGRID","USTREET1","USTREET2","UBLOCK","ROADAUTH","CTRLSECT","ATKM","RM","SIDEOF","QTR","SEC","TWP","RGE","MER","OTHERLOC","lookup_str","lat","lon"
1450773,"INJURY","2004-05-19",1320,2,1,0,"IN","REGINA","RE692950","BROAD ST","DEWDNEY AVE",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","BROAD ST and DEWDNEY AVE, REGINA, Saskatchewan",50.4551273,-104.6063097
1344657,"INJURY","2004-05-24",2100,2,1,0,"IN","REGINA","RE156500","14TH AVE","600-699",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","649 14TH AVE, REGINA, Saskatchewan",50.4439634,-104.5928415
1480605,"INJURY","2004-05-25",1800,2,1,0,"IN","REGINA","RE686530","7TH AVE","RAE ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","7TH AVE and RAE ST, REGINA, Saskatchewan",50.4582905,-104.6210552
1481526,"INJURY","2004-05-26",1948,2,1,0,"IN","REGINA","RE4700","ALBERT ST","2700-2799",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","2749 ALBERT ST, REGINA, Saskatchewan",50.4361989,-104.6181218
1450665,"INJURY","2004-05-27",1700,2,1,0,"IN","REGINA","RE126600","ELPHINSTONE ST","600-699",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","649 ELPHINSTONE ST, REGINA, Saskatchewan",50.4685831,-104.6308703
1344532,"INJURY","2004-05-29",2300,2,1,0,"IN","REGINA","RE88900","DEWDNEY AVE","2000-2099",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","2049 DEWDNEY AVE, REGINA, Saskatchewan",NA,NA
1450667,"INJURY","2004-06-12",1130,2,1,0,"IN","REGINA","RE313000","QUEEN ST","1400-1499",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","1449 QUEEN ST, REGINA, Saskatchewan",NA,NA
1451350,"INJURY","2004-06-19",2123,2,1,0,"IN","REGINA","RE297300","PASQUA ST","900-999",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","949 PASQUA ST, REGINA, Saskatchewan",NA,NA
1346409,"INJURY","2004-06-20",1609,2,1,0,"IN","REGINA","RE291200","PARK ST","1400-1499",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","1449 PARK ST, REGINA, Saskatchewan",50.4556418,-104.5722003
1483676,"INJURY","2004-06-23",1449,2,1,0,"IN","REGINA","RE684930","6TH AVE","BROAD ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","6TH AVE and BROAD ST, REGINA, Saskatchewan",NA,NA
1483704,"FATAL","2004-06-23",1304,2,0,1,"IN","REGINA","RE695650","COLLEGE AVE","LORNE ST",NA,"URBAN","",0,NA,"","",NA,NA,NA,NA,"","COLLEGE AVE and LORNE ST, REGINA, Saskatchewan",50.4407115,-104.6135548
